enter_cat,following_cat,nb_cus_cross,nb_cus_enter,nb_cus_follow,nb_customer_tot,confidence,expected,lift
PRODUCT > FLOWER SOIL/FERTILIZER,PRODUCT > BOTTLED WATER,1,5,678,11811,20.0,6.0,3.5
PRODUCT > MALE COSMETICS,PRODUCT > BOTTLED WATER,6,31,678,11811,19.0,6.0,3.4
PRODUCT > READY SOUPS,PRODUCT > BOTTLED WATER,2,13,678,11811,15.0,6.0,2.7
PRODUCT > FROZEN FRUITS,"PRODUCT > CREAM CHEESE ",1,7,284,11811,14.0,2.0,5.9
PRODUCT > SPECIALTY VEGETABLES,PRODUCT > DOMESTIC EGGS,2,11,437,11811,18.0,4.0,4.9
PRODUCT > TOILET CLEANER,PRODUCT > SHOPPING BAGS,2,4,438,11811,50.0,4.0,13.5
PRODUCT > NUT SNACK,PRODUCT > SHOPPING BAGS,3,20,438,11811,15.0,4.0,4.0
PRODUCT > TURKEY,PRODUCT > TROPICAL FRUIT,7,57,739,11811,12.0,6.0,2.0
PRODUCT > HERBS,PRODUCT > ROOT VEGETABLES,13,108,773,11811,12.0,7.0,1.8
PRODUCT > LIQUEUR,PRODUCT > OTHER VEGETABLES,1,4,1325,11811,25.0,11.0,2.2
PRODUCT > FROZEN FRUITS,PRODUCT > OTHER VEGETABLES,2,7,1325,11811,29.0,11.0,2.5
PRODUCT > HAMBURGER MEAT,PRODUCT > OTHER VEGETABLES,28,230,1325,11811,12.0,11.0,1.1
PRODUCT > ONIONS,PRODUCT > OTHER VEGETABLES,31,216,1325,11811,14.0,11.0,1.3
PRODUCT > NUTS/PRUNES,PRODUCT > OTHER VEGETABLES,4,22,1325,11811,18.0,11.0,1.6
PRODUCT > HERBS,PRODUCT > OTHER VEGETABLES,21,108,1325,11811,19.0,11.0,1.7
PRODUCT > SALAD DRESSING,PRODUCT > PROCESSED CHEESE,1,5,113,11811,20.0,1.0,20.9
PRODUCT > FROZEN FRUITS,PRODUCT > PROCESSED CHEESE,1,7,113,11811,14.0,1.0,14.9
PRODUCT > FROZEN FRUITS,PRODUCT > FROZEN VEGETABLES,1,7,313,11811,14.0,3.0,5.4
PRODUCT > FROZEN CHICKEN,PRODUCT > SEASONAL PRODUCTS,1,2,79,11811,50.0,1.0,74.8
PRODUCT > FLOWER SOIL/FERTILIZER,PRODUCT > SEASONAL PRODUCTS,1,5,79,11811,20.0,1.0,29.9
PRODUCT > BAGS,PRODUCT > PICKLED VEGETABLES,1,2,123,11811,50.0,1.0,48.0
PRODUCT > SALAD DRESSING,PRODUCT > WHIPPED/SOUR CREAM,1,5,491,11811,20.0,4.0,4.8
PRODUCT > PUDDING POWDER,PRODUCT > WHIPPED/SOUR CREAM,2,14,491,11811,14.0,4.0,3.4
PRODUCT > READY SOUPS,PRODUCT > SEMI-FINISHED BREAD,2,13,122,11811,15.0,1.0,14.9
PRODUCT > SALAD DRESSING,PRODUCT > SEMI-FINISHED BREAD,1,5,122,11811,20.0,1.0,19.4
PRODUCT > FROZEN CHICKEN,PRODUCT > FRUIT/VEGETABLE JUICE,1,2,445,11811,50.0,4.0,13.3
PRODUCT > BROWN BREAD,PRODUCT > JAM,2,438,40,11811,0.0,0.0,1.3
PRODUCT > WHITE BREAD,PRODUCT > JAM,1,283,40,11811,0.0,0.0,1.0
PRODUCT > PASTRY,PRODUCT > JAM,2,567,40,11811,0.0,0.0,1.0
"PRODUCT > CREAM CHEESE ",PRODUCT > JAM,1,281,40,11811,0.0,0.0,1.1
PRODUCT > SHOPPING BAGS,PRODUCT > JAM,2,442,40,11811,0.0,0.0,1.3
PRODUCT > BOTTLED WATER,PRODUCT > JAM,3,685,40,11811,0.0,0.0,1.3
PRODUCT > NAPKINS,PRODUCT > RUM,1,281,21,11811,0.0,0.0,2.0
PRODUCT > BOTTLED WATER,PRODUCT > RUM,3,685,21,11811,0.0,0.0,2.5
PRODUCT > BOTTLED BEER,PRODUCT > RUM,1,421,21,11811,0.0,0.0,1.3
PRODUCT > WHIPPED/SOUR CREAM,PRODUCT > RUM,1,492,21,11811,0.0,0.0,1.1
PRODUCT > ROLLS/BUNS,PRODUCT > RUM,3,1139,21,11811,0.0,0.0,1.5
PRODUCT > SUGAR,PRODUCT > RUM,1,221,21,11811,0.0,0.0,2.5
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > RUM,1,224,21,11811,0.0,0.0,2.5
PRODUCT > SODA,PRODUCT > RUM,2,1026,21,11811,0.0,0.0,1.1
PRODUCT > DOMESTIC EGGS,PRODUCT > TEA,1,444,28,11811,0.0,0.0,1.0
PRODUCT > BOTTLED WATER,PRODUCT > TEA,3,685,28,11811,0.0,0.0,1.8
PRODUCT > NAPKINS,PRODUCT > TEA,1,281,28,11811,0.0,0.0,1.5
PRODUCT > BUTTER,PRODUCT > TEA,1,402,28,11811,0.0,0.0,1.0
PRODUCT > COFFEE,PRODUCT > TEA,1,350,28,11811,0.0,0.0,1.2
PRODUCT > FROZEN VEGETABLES,PRODUCT > TEA,1,332,28,11811,0.0,0.0,1.3
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > BAGS,1,456,1,11811,0.0,0.0,25.9
PRODUCT > PIP FRUIT,PRODUCT > FISH,1,511,22,11811,0.0,0.0,1.1
PRODUCT > BERRIES,PRODUCT > FISH,1,223,22,11811,0.0,0.0,2.4
PRODUCT > WHITE BREAD,PRODUCT > FISH,1,283,22,11811,0.0,0.0,1.9
PRODUCT > TROPICAL FRUIT,PRODUCT > FISH,2,750,22,11811,0.0,0.0,1.4
PRODUCT > BOTTLED BEER,PRODUCT > FISH,1,421,22,11811,0.0,0.0,1.3
PRODUCT > PORK,PRODUCT > FISH,1,389,22,11811,0.0,0.0,1.4
PRODUCT > FRANKFURTER,PRODUCT > FISH,1,414,22,11811,0.0,0.0,1.3
PRODUCT > SALTY SNACK,PRODUCT > RICE,1,208,57,11811,0.0,0.0,1.0
PRODUCT > BUTTER,PRODUCT > RICE,2,402,57,11811,0.0,0.0,1.0
PRODUCT > BOTTLED BEER,PRODUCT > SOAP,1,421,14,11811,0.0,0.0,2.0
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > SOAP,1,456,14,11811,0.0,0.0,1.9
PRODUCT > PASTRY,PRODUCT > SOAP,1,567,14,11811,0.0,0.0,1.5
PRODUCT > COFFEE,PRODUCT > SOAP,1,350,14,11811,0.0,0.0,2.4
PRODUCT > SODA,PRODUCT > SOAP,4,1026,14,11811,0.0,0.0,3.3
PRODUCT > YOGURT,PRODUCT > CREAM,2,938,10,11811,0.0,0.0,2.5
PRODUCT > BUTTER MILK,PRODUCT > CREAM,1,203,10,11811,0.0,0.0,5.8
PRODUCT > CURD,PRODUCT > CREAM,1,376,10,11811,0.0,0.0,3.1
PRODUCT > OTHER VEGETABLES,PRODUCT > CREAM,2,1362,10,11811,0.0,0.0,1.7
"PRODUCT > CREAM CHEESE ",PRODUCT > CREAM,1,281,10,11811,0.0,0.0,4.2
PRODUCT > WAFFLES,PRODUCT > HONEY,1,224,10,11811,0.0,0.0,5.3
PRODUCT > NEWSPAPERS,PRODUCT > HONEY,1,378,10,11811,0.0,0.0,3.1
PRODUCT > CHOCOLATE,PRODUCT > HONEY,1,270,10,11811,0.0,0.0,4.4
PRODUCT > WHOLE MILK,PRODUCT > HONEY,2,1734,10,11811,0.0,0.0,1.4
PRODUCT > YOGURT,PRODUCT > HONEY,2,938,10,11811,0.0,0.0,2.5
PRODUCT > DOMESTIC EGGS,PRODUCT > HONEY,1,444,10,11811,0.0,0.0,2.7
PRODUCT > BOTTLED WATER,PRODUCT > SOUPS,3,685,42,11811,0.0,0.0,1.2
PRODUCT > BUTTER MILK,PRODUCT > SOUPS,1,203,42,11811,0.0,0.0,1.4
PRODUCT > CHOCOLATE,PRODUCT > SOUPS,1,270,42,11811,0.0,0.0,1.0
PRODUCT > WHITE BREAD,PRODUCT > SOUPS,1,283,42,11811,0.0,0.0,1.0
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > SYRUP,1,456,18,11811,0.0,0.0,1.4
PRODUCT > MARGARINE,PRODUCT > SYRUP,1,386,18,11811,0.0,0.0,1.7
PRODUCT > SHOPPING BAGS,PRODUCT > SYRUP,1,442,18,11811,0.0,0.0,1.5
PRODUCT > SODA,PRODUCT > SYRUP,4,1026,18,11811,0.0,0.0,2.6
PRODUCT > BUTTER,PRODUCT > SYRUP,1,402,18,11811,0.0,0.0,1.6
PRODUCT > NEWSPAPERS,PRODUCT > SYRUP,1,378,18,11811,0.0,0.0,1.7
PRODUCT > FROZEN VEGETABLES,PRODUCT > SYRUP,1,332,18,11811,0.0,0.0,2.0
PRODUCT > UHT-MILK,PRODUCT > BRANDY,1,240,22,11811,0.0,0.0,2.2
PRODUCT > SHOPPING BAGS,PRODUCT > BRANDY,2,442,22,11811,0.0,0.0,2.4
PRODUCT > BOTTLED WATER,PRODUCT > BRANDY,2,685,22,11811,0.0,0.0,1.6
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > BRANDY,1,456,22,11811,0.0,0.0,1.2
PRODUCT > NAPKINS,PRODUCT > BRANDY,1,281,22,11811,0.0,0.0,1.9
PRODUCT > CANNED BEER,PRODUCT > BRANDY,1,310,22,11811,0.0,0.0,1.7
PRODUCT > HAMBURGER MEAT,PRODUCT > SAUCES,1,230,39,11811,0.0,0.0,1.3
PRODUCT > UHT-MILK,PRODUCT > SAUCES,1,240,39,11811,0.0,0.0,1.3
PRODUCT > CHICKEN,PRODUCT > SPICES,1,277,30,11811,0.0,0.0,1.4
PRODUCT > COFFEE,PRODUCT > SPICES,1,350,30,11811,0.0,0.0,1.1
PRODUCT > ONIONS,PRODUCT > SPICES,1,216,30,11811,0.0,0.0,1.8
PRODUCT > WHITE BREAD,PRODUCT > SPICES,1,283,30,11811,0.0,0.0,1.4
PRODUCT > CHOCOLATE,PRODUCT > SPICES,1,270,30,11811,0.0,0.0,1.5
PRODUCT > DESSERT,PRODUCT > SPICES,1,261,30,11811,0.0,0.0,1.5
PRODUCT > TROPICAL FRUIT,PRODUCT > SPICES,2,750,30,11811,0.0,0.0,1.0
PRODUCT > SAUSAGE,PRODUCT > SPICES,2,650,30,11811,0.0,0.0,1.2
PRODUCT > CHOCOLATE,PRODUCT > WHISKY,1,270,2,11811,0.0,0.0,21.9
PRODUCT > UHT-MILK,PRODUCT > CANDLES,1,240,45,11811,0.0,0.0,1.1
PRODUCT > SALTY SNACK,PRODUCT > CANDLES,1,208,45,11811,0.0,0.0,1.3
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > CANDLES,1,224,45,11811,0.0,0.0,1.2
PRODUCT > SALTY SNACK,PRODUCT > CEREALS,1,208,43,11811,0.0,0.0,1.3
"PRODUCT > CREAM CHEESE ",PRODUCT > CEREALS,1,281,43,11811,0.0,0.0,1.0
PRODUCT > BUTTER MILK,PRODUCT > CEREALS,1,203,43,11811,0.0,0.0,1.4
PRODUCT > NAPKINS,PRODUCT > CLEANER,1,281,30,11811,0.0,0.0,1.4
PRODUCT > COFFEE,PRODUCT > CLEANER,1,350,30,11811,0.0,0.0,1.1
PRODUCT > FROZEN VEGETABLES,PRODUCT > CLEANER,1,332,30,11811,0.0,0.0,1.2
PRODUCT > CHOCOLATE,PRODUCT > CLEANER,1,270,30,11811,0.0,0.0,1.5
PRODUCT > MARGARINE,PRODUCT > CLEANER,1,386,30,11811,0.0,0.0,1.0
PRODUCT > BUTTER,PRODUCT > CLEANER,1,402,30,11811,0.0,0.0,1.0
PRODUCT > BROWN BREAD,PRODUCT > KETCHUP,1,438,22,11811,0.0,0.0,1.2
PRODUCT > WHITE BREAD,PRODUCT > KETCHUP,1,283,22,11811,0.0,0.0,1.9
PRODUCT > SHOPPING BAGS,PRODUCT > KETCHUP,1,442,22,11811,0.0,0.0,1.2
PRODUCT > NAPKINS,PRODUCT > KETCHUP,1,281,22,11811,0.0,0.0,1.9
PRODUCT > ONIONS,PRODUCT > POPCORN,1,216,33,11811,0.0,0.0,1.7
PRODUCT > BOTTLED BEER,PRODUCT > TIDBITS,1,421,17,11811,0.0,0.0,1.7
PRODUCT > SODA,PRODUCT > TIDBITS,2,1026,17,11811,0.0,0.0,1.4
PRODUCT > WAFFLES,PRODUCT > TIDBITS,1,224,17,11811,0.0,0.0,3.1
PRODUCT > PASTRY,PRODUCT > TIDBITS,2,567,17,11811,0.0,0.0,2.5
PRODUCT > SHOPPING BAGS,PRODUCT > TIDBITS,1,442,17,11811,0.0,0.0,1.6
PRODUCT > ROLLS/BUNS,PRODUCT > TIDBITS,2,1139,17,11811,0.0,0.0,1.2
PRODUCT > PORK,PRODUCT > TIDBITS,1,389,17,11811,0.0,0.0,1.8
PRODUCT > CITRUS FRUIT,PRODUCT > TIDBITS,1,586,17,11811,0.0,0.0,1.2
PRODUCT > DESSERT,PRODUCT > TIDBITS,1,261,17,11811,0.0,0.0,2.7
PRODUCT > SUGAR,PRODUCT > VINEGAR,1,221,43,11811,0.0,0.0,1.2
PRODUCT > CHOCOLATE,PRODUCT > VINEGAR,1,270,43,11811,0.0,0.0,1.0
PRODUCT > FRANKFURTER,PRODUCT > VINEGAR,2,414,43,11811,0.0,0.0,1.3
PRODUCT > ONIONS,PRODUCT > VINEGAR,1,216,43,11811,0.0,0.0,1.3
PRODUCT > PASTRY,PRODUCT > VINEGAR,2,567,43,11811,0.0,0.0,1.0
PRODUCT > ROLLS/BUNS,PRODUCT > VINEGAR,4,1139,43,11811,0.0,0.0,1.0
PRODUCT > WHITE BREAD,PRODUCT > VINEGAR,1,283,43,11811,0.0,0.0,1.0
PRODUCT > WHITE BREAD,PRODUCT > COOKWARE,1,283,14,11811,0.0,0.0,3.0
PRODUCT > SAUSAGE,PRODUCT > COOKWARE,1,650,14,11811,0.0,0.0,1.3
PRODUCT > MARGARINE,PRODUCT > COOKWARE,1,386,14,11811,0.0,0.0,2.2
PRODUCT > NAPKINS,PRODUCT > COOKWARE,1,281,14,11811,0.0,0.0,3.0
PRODUCT > WAFFLES,PRODUCT > COOKWARE,1,224,14,11811,0.0,0.0,3.8
"PRODUCT > CREAM CHEESE ",PRODUCT > COOKWARE,1,281,14,11811,0.0,0.0,3.0
PRODUCT > SALTY SNACK,PRODUCT > DOG FOOD,1,208,58,11811,0.0,0.0,1.0
PRODUCT > SALTY SNACK,PRODUCT > PET CARE,1,208,59,11811,0.0,0.0,1.0
PRODUCT > BOTTLED BEER,PRODUCT > PET CARE,2,421,59,11811,0.0,0.0,1.0
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > PROSECCO,1,224,14,11811,0.0,0.0,3.8
PRODUCT > TROPICAL FRUIT,PRODUCT > PROSECCO,1,750,14,11811,0.0,0.0,1.1
PRODUCT > ROLLS/BUNS,PRODUCT > PROSECCO,2,1139,14,11811,0.0,0.0,1.5
PRODUCT > WHOLE MILK,PRODUCT > PROSECCO,2,1734,14,11811,0.0,0.0,1.0
PRODUCT > WHIPPED/SOUR CREAM,PRODUCT > SOFTENER,2,492,36,11811,0.0,0.0,1.3
PRODUCT > SHOPPING BAGS,PRODUCT > SOFTENER,2,442,36,11811,0.0,0.0,1.5
"PRODUCT > CREAM CHEESE ",PRODUCT > ZWIEBACK,1,281,41,11811,0.0,0.0,1.0
PRODUCT > HAMBURGER MEAT,PRODUCT > ZWIEBACK,1,230,41,11811,0.0,0.0,1.3
PRODUCT > UHT-MILK,PRODUCT > ZWIEBACK,1,240,41,11811,0.0,0.0,1.2
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > ZWIEBACK,1,224,41,11811,0.0,0.0,1.3
PRODUCT > SALTY SNACK,PRODUCT > ZWIEBACK,1,208,41,11811,0.0,0.0,1.4
PRODUCT > BOTTLED WATER,PRODUCT > ZWIEBACK,3,685,41,11811,0.0,0.0,1.3
PRODUCT > BERRIES,PRODUCT > NUT SNACK,1,223,18,11811,0.0,0.0,2.9
PRODUCT > BOTTLED WATER,PRODUCT > NUT SNACK,1,685,18,11811,0.0,0.0,1.0
PRODUCT > SALTY SNACK,PRODUCT > NUT SNACK,1,208,18,11811,0.0,0.0,3.2
PRODUCT > WAFFLES,PRODUCT > NUT SNACK,1,224,18,11811,0.0,0.0,2.9
PRODUCT > SODA,PRODUCT > NUT SNACK,2,1026,18,11811,0.0,0.0,1.3
PRODUCT > BROWN BREAD,PRODUCT > NUT SNACK,1,438,18,11811,0.0,0.0,1.5
PRODUCT > BOTTLED BEER,PRODUCT > NUT SNACK,1,421,18,11811,0.0,0.0,1.6
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > NUT SNACK,1,456,18,11811,0.0,0.0,1.4
PRODUCT > NAPKINS,PRODUCT > NUT SNACK,1,281,18,11811,0.0,0.0,2.3
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > NUT SNACK,1,224,18,11811,0.0,0.0,2.9
PRODUCT > PIP FRUIT,PRODUCT > SKIN CARE,1,511,23,11811,0.0,0.0,1.0
PRODUCT > BOTTLED WATER,PRODUCT > SKIN CARE,3,685,23,11811,0.0,0.0,2.2
PRODUCT > WHIPPED/SOUR CREAM,PRODUCT > SKIN CARE,1,492,23,11811,0.0,0.0,1.0
PRODUCT > SALTY SNACK,PRODUCT > SKIN CARE,1,208,23,11811,0.0,0.0,2.5
PRODUCT > SUGAR,PRODUCT > SKIN CARE,1,221,23,11811,0.0,0.0,2.3
PRODUCT > COFFEE,PRODUCT > SKIN CARE,1,350,23,11811,0.0,0.0,1.5
PRODUCT > WAFFLES,PRODUCT > SKIN CARE,1,224,23,11811,0.0,0.0,2.3
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > HAIR SPRAY,1,456,5,11811,0.0,0.0,5.2
PRODUCT > NEWSPAPERS,PRODUCT > HAIR SPRAY,1,378,5,11811,0.0,0.0,6.2
PRODUCT > OTHER VEGETABLES,PRODUCT > HAIR SPRAY,1,1362,5,11811,0.0,0.0,1.7
PRODUCT > BROWN BREAD,PRODUCT > HAIR SPRAY,1,438,5,11811,0.0,0.0,5.4
PRODUCT > PIP FRUIT,PRODUCT > LIVER LOAF,2,511,43,11811,0.0,0.0,1.1
PRODUCT > YOGURT,PRODUCT > LIVER LOAF,4,938,43,11811,0.0,0.0,1.2
PRODUCT > SAUSAGE,PRODUCT > LIVER LOAF,3,650,43,11811,0.0,0.0,1.3
PRODUCT > SALTY SNACK,PRODUCT > LIVER LOAF,1,208,43,11811,0.0,0.0,1.3
"PRODUCT > CREAM CHEESE ",PRODUCT > LIVER LOAF,1,281,43,11811,0.0,0.0,1.0
PRODUCT > CHICKEN,PRODUCT > LIVER LOAF,1,277,43,11811,0.0,0.0,1.0
PRODUCT > WHOLE MILK,PRODUCT > LIVER LOAF,7,1734,43,11811,0.0,0.0,1.1
PRODUCT > ROOT VEGETABLES,PRODUCT > LIVER LOAF,3,759,43,11811,0.0,0.0,1.1
PRODUCT > WAFFLES,PRODUCT > LIVER LOAF,1,224,43,11811,0.0,0.0,1.2
PRODUCT > SALTY SNACK,PRODUCT > PHOTO/FILM,1,208,33,11811,0.0,0.0,1.7
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > PHOTO/FILM,1,224,33,11811,0.0,0.0,1.6
PRODUCT > CURD,PRODUCT > PHOTO/FILM,1,376,33,11811,0.0,0.0,1.0
PRODUCT > BUTTER MILK,PRODUCT > PHOTO/FILM,1,203,33,11811,0.0,0.0,1.8
PRODUCT > NAPKINS,PRODUCT > PHOTO/FILM,1,281,33,11811,0.0,0.0,1.3
PRODUCT > HAMBURGER MEAT,PRODUCT > PHOTO/FILM,1,230,33,11811,0.0,0.0,1.6
PRODUCT > DOMESTIC EGGS,PRODUCT > PHOTO/FILM,2,444,33,11811,0.0,0.0,1.6
PRODUCT > UHT-MILK,PRODUCT > CURD CHEESE,1,240,38,11811,0.0,0.0,1.3
PRODUCT > SUGAR,PRODUCT > CURD CHEESE,1,221,38,11811,0.0,0.0,1.4
PRODUCT > ROLLS/BUNS,PRODUCT > CURD CHEESE,4,1139,38,11811,0.0,0.0,1.1
PRODUCT > BUTTER MILK,PRODUCT > CURD CHEESE,1,203,38,11811,0.0,0.0,1.5
PRODUCT > NAPKINS,PRODUCT > DECALCIFIER,1,281,10,11811,0.0,0.0,4.2
PRODUCT > YOGURT,PRODUCT > DECALCIFIER,1,938,10,11811,0.0,0.0,1.3
PRODUCT > DOMESTIC EGGS,PRODUCT > DECALCIFIER,1,444,10,11811,0.0,0.0,2.7
PRODUCT > FRUIT/VEGETABLE JUICE,PRODUCT > DECALCIFIER,1,456,10,11811,0.0,0.0,2.6
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > DECALCIFIER,1,224,10,11811,0.0,0.0,5.3
PRODUCT > SHOPPING BAGS,PRODUCT > DECALCIFIER,1,442,10,11811,0.0,0.0,2.7
PRODUCT > NAPKINS,PRODUCT > DENTAL CARE,1,281,36,11811,0.0,0.0,1.2
PRODUCT > UHT-MILK,PRODUCT > DENTAL CARE,1,240,36,11811,0.0,0.0,1.4
PRODUCT > SALTY SNACK,PRODUCT > DENTAL CARE,1,208,36,11811,0.0,0.0,1.6
PRODUCT > CHOCOLATE,PRODUCT > DENTAL CARE,1,270,36,11811,0.0,0.0,1.2
PRODUCT > SHOPPING BAGS,PRODUCT > DENTAL CARE,2,442,36,11811,0.0,0.0,1.5
PRODUCT > WAFFLES,PRODUCT > DENTAL CARE,1,224,36,11811,0.0,0.0,1.5
PRODUCT > WHIPPED/SOUR CREAM,PRODUCT > DENTAL CARE,2,492,36,11811,0.0,0.0,1.3
PRODUCT > BOTTLED WATER,PRODUCT > DENTAL CARE,3,685,36,11811,0.0,0.0,1.4
"PRODUCT > CREAM CHEESE ",PRODUCT > DENTAL CARE,1,281,36,11811,0.0,0.0,1.2
PRODUCT > BUTTER MILK,PRODUCT > DENTAL CARE,1,203,36,11811,0.0,0.0,1.6
PRODUCT > COFFEE,PRODUCT > LIGHT BULBS,1,350,19,11811,0.0,0.0,1.8
PRODUCT > SALTY SNACK,PRODUCT > LIGHT BULBS,1,208,19,11811,0.0,0.0,3.0
PRODUCT > FRANKFURTER,PRODUCT > LIGHT BULBS,1,414,19,11811,0.0,0.0,1.5
PRODUCT > NEWSPAPERS,PRODUCT > LIGHT BULBS,1,378,19,11811,0.0,0.0,1.6
PRODUCT > SHOPPING BAGS,PRODUCT > LIGHT BULBS,1,442,19,11811,0.0,0.0,1.4
PRODUCT > FRANKFURTER,PRODUCT > NUTS/PRUNES,1,414,23,11811,0.0,0.0,1.2
PRODUCT > WAFFLES,PRODUCT > NUTS/PRUNES,1,224,23,11811,0.0,0.0,2.3
PRODUCT > PORK,PRODUCT > NUTS/PRUNES,1,389,23,11811,0.0,0.0,1.3
"PRODUCT > CREAM CHEESE ",PRODUCT > NUTS/PRUNES,1,281,23,11811,0.0,0.0,1.8
PRODUCT > CHOCOLATE,PRODUCT > NUTS/PRUNES,1,270,23,11811,0.0,0.0,1.9
PRODUCT > ROOT VEGETABLES,PRODUCT > NUTS/PRUNES,2,759,23,11811,0.0,0.0,1.4
PRODUCT > CITRUS FRUIT,PRODUCT > READY SOUPS,1,586,10,11811,0.0,0.0,2.0
PRODUCT > WAFFLES,PRODUCT > READY SOUPS,1,224,10,11811,0.0,0.0,5.3
PRODUCT > SODA,PRODUCT > READY SOUPS,1,1026,10,11811,0.0,0.0,1.2
