customer,product
152,berries
152,root vegetables
153,brown bread
153,detergent
154,whole milk
154,whipped/sour cream
154,rolls/buns
154,soda
155,waffles
155,candy
155,cling film/bags
156,processed cheese
157,tropical fruit
157,pip fruit
158,frankfurter
158,sausage
158,root vegetables
158,other vegetables
159,rolls/buns
159,oil
159,pickled vegetables
159,bottled beer
160,chewing gum
160,dishes
161,packaged fruit/vegetables
161,bottled water
162,whole milk
162,dessert
162,frozen vegetables
162,rolls/buns
163,margarine
163,bottled water
163,red/blush wine
163,newspapers
164,berries
164,whipped/sour cream
165,citrus fruit
165,berries
165,UHT-milk
165,processed cheese
166,tropical fruit
166,whole milk
166,yogurt
167,hamburger meat
167,whole milk
167,frozen vegetables
167,rolls/buns
168,bottled beer
168,sparkling wine
169,hamburger meat
169,other vegetables
169,whole milk
169,frozen vegetables
170,domestic eggs
170,soda
170,dishes
171,whole milk
171,cream cheese 
171,soda
172,fish
172,other vegetables
172,pastry
172,margarine
173,coffee
173,long life bakery product
173,male cosmetics
173,shopping bags
174,frankfurter
174,sausage
174,long life bakery product
174,waffles
175,packaged fruit/vegetables
175,dessert
175,semi-finished bread
175,canned beer
176,pastry
176,soda
177,other vegetables
177,red/blush wine
178,misc. beverages
179,frankfurter
179,sausage
179,citrus fruit
179,tropical fruit
180,pip fruit
180,whole milk
180,hard cheese
180,cream cheese 
181,domestic eggs
181,rice
181,sugar
181,canned fruit
182,misc. beverages
182,fruit/vegetable juice
182,hygiene articles
183,sparkling wine
184,specialty bar
185,sausage
185,butter milk
185,rolls/buns
186,curd cheese
187,frankfurter
187,dessert
188,whole milk
188,yogurt
188,beverages
188,brown bread
189,shopping bags
190,newspapers
191,berries
191,soda
192,curd
192,flour
192,liquor (appetizer)
193,tropical fruit
193,other vegetables
193,coffee
194,soda
195,rolls/buns
195,Instant food products
196,canned beer
197,canned beer
198,frankfurter
198,sausage
198,whole milk
198,rolls/buns
199,margarine
200,other vegetables
200,misc. beverages
200,canned beer
201,whole milk
201,frozen vegetables
202,whole milk
203,citrus fruit
203,butter
203,cream cheese 
203,white bread
204,oil
204,margarine
204,newspapers
205,frankfurter
205,rolls/buns
206,frankfurter
206,ham
206,pip fruit
206,other vegetables
207,whole milk
207,soft cheese
207,frozen vegetables
207,rolls/buns
208,sugar
208,baking powder
209,butter milk
209,yogurt
209,honey
209,soda
210,detergent
211,hamburger meat
211,citrus fruit
211,onions
211,rolls/buns
212,bottled water
212,dental care
213,pasta
213,popcorn
214,other vegetables
214,whole milk
214,meat spreads
214,cake bar
215,chocolate
215,shopping bags
216,sausage
216,pork
216,citrus fruit
216,dessert
217,white bread
217,dishes
217,candles
218,rolls/buns
219,grapes
219,other vegetables
219,curd
219,dessert
220,yogurt
220,napkins
221,root vegetables
221,other vegetables
221,whole milk
221,yogurt
222,beverages
222,soft cheese
222,frozen vegetables
222,fruit/vegetable juice
223,bottled beer
224,coffee
224,shopping bags
225,popcorn
226,whole milk
226,rolls/buns
226,sugar
226,bottled water
227,soda
228,tropical fruit
228,other vegetables
228,packaged fruit/vegetables
228,whole milk
229,snack products
230,beef
230,herbs
230,flour
230,cling film/bags
231,flower soil/fertilizer
232,whole milk
232,butter
232,dessert
232,rolls/buns
233,frankfurter
233,soda
233,chewing gum
234,tropical fruit
234,specialty cheese
234,bottled water
235,canned beer
236,finished products
236,other vegetables
236,frozen vegetables
236,bottled beer
237,beverages
237,soda
238,hamburger meat
238,root vegetables
238,whole milk
239,whole milk
239,pastry
239,long life bakery product
240,finished products
240,white wine
240,shopping bags
241,other vegetables
242,ham
242,tropical fruit
242,other vegetables
242,whole milk
243,white bread
243,brown bread
243,fruit/vegetable juice
243,bottled beer
244,other vegetables
245,curd
245,butter milk
245,cocoa drinks
245,salty snack
246,popcorn
247,bottled beer
248,curd
248,dessert
248,soda
248,salty snack
249,waffles
249,cake bar
249,chocolate
249,shopping bags
250,whole milk
250,cream cheese 
250,cereals
250,dog food
251,whole milk
251,salt
252,dessert
252,ice cream
253,sausage
253,soft cheese
253,coffee
254,other vegetables
254,bottled water
254,waffles
254,dishes
255,shopping bags
256,ham
256,whole milk
256,rolls/buns
257,other vegetables
257,ice cream
258,other vegetables
258,bottled water
259,soda
259,bottled beer
259,white wine
259,prosecco
260,herbs
260,candy
261,frankfurter
261,ham
261,tropical fruit
261,pip fruit
262,root vegetables
262,other vegetables
262,whole milk
262,butter
263,curd
263,yogurt
263,whipped/sour cream
263,soft cheese
264,sliced cheese
264,cream cheese 
264,frozen meals
264,frozen fish
265,domestic eggs
265,white bread
265,sugar
265,cereals
266,fruit/vegetable juice
266,bottled beer
266,waffles
267,rolls/buns
267,canned beer
268,curd
268,cream cheese 
268,semi-finished bread
268,zwieback
269,cake bar
269,specialty bar
269,shopping bags
270,frankfurter
270,tropical fruit
270,whole milk
270,spread cheese
271,margarine
271,shopping bags
272,other vegetables
273,dog food
274,specialty bar
275,curd
275,salt
275,liquor (appetizer)
275,detergent
276,shopping bags
277,frankfurter
277,rolls/buns
278,soda
279,beef
279,berries
279,root vegetables
279,whole milk
280,dessert
280,spread cheese
280,brown bread
281,canned beer
282,pork
282,beef
282,pip fruit
282,herbs
283,spices
284,frankfurter
284,citrus fruit
284,UHT-milk
284,margarine
285,sugar
286,sausage
286,bottled beer
286,liquor (appetizer)
287,canned beer
288,specialty chocolate
289,curd
289,rolls/buns
290,canned beer
291,whole milk
291,bottled water
291,newspapers
292,rolls/buns
292,chewing gum
293,pork
293,root vegetables
293,other vegetables
293,whole milk
294,dishes
295,citrus fruit
295,pastry
296,pot plants
297,rolls/buns
297,pastry
297,soda
298,butter
298,yogurt
298,bottled water
298,soda
299,make up remover
299,hygiene articles
300,condensed milk
300,sugar
300,coffee
300,shopping bags
301,sausage
301,other vegetables
301,yogurt
301,soda
302,shopping bags
303,whole milk
303,beverages
303,UHT-milk
303,soda
304,sausage
304,pork
304,beef
304,whole milk
305,rolls/buns
305,margarine
306,beverages
307,beverages
307,specialty bar
308,bottled water
308,fruit/vegetable juice
309,newspapers
310,cleaner
310,female sanitary products
311,sausage
311,soda
311,newspapers
311,shopping bags
312,newspapers
313,sausage
313,beef
313,citrus fruit
313,other vegetables
314,whole milk
314,butter milk
314,whipped/sour cream
314,beverages
315,hard cheese
315,rolls/buns
315,dish cleaner
315,cookware
316,misc. beverages
316,newspapers
317,white wine
318,sausage
318,sliced cheese
318,rolls/buns
318,soda
319,canned beer
319,shopping bags
320,meat
320,curd
320,bottled beer
320,cake bar
321,frankfurter
321,meat
321,tropical fruit
321,onions
322,oil
322,baking powder
322,tea
322,cling film/bags
323,ice cream
323,rolls/buns
323,canned beer
324,canned beer
325,tropical fruit
325,berries
325,root vegetables
325,other vegetables
326,bottled water
326,shopping bags
327,meat
327,citrus fruit
327,other vegetables
327,curd
328,dessert
328,butter milk
328,beverages
328,cream cheese 
329,rolls/buns
329,brown bread
329,tea
329,bottled water
330,whole milk
330,mustard
330,bottled water
331,sausage
331,beef
331,beverages
331,sliced cheese
332,rolls/buns
332,spices
332,house keeping products
332,flower (seeds)
333,frankfurter
333,sausage
333,root vegetables
333,butter
334,curd
334,sliced cheese
334,rolls/buns
334,salty snack
335,long life bakery product
336,meat
336,other vegetables
336,butter
336,rolls/buns
337,root vegetables
337,beverages
337,Instant food products
337,pickled vegetables
338,detergent
339,root vegetables
339,herbs
339,other vegetables
339,whole milk
340,sliced cheese
340,rolls/buns
341,whole milk
341,whipped/sour cream
341,semi-finished bread
341,margarine
342,citrus fruit
342,whole milk
342,curd
342,dessert
343,yogurt
343,whipped/sour cream
343,frozen dessert
343,rolls/buns
344,salt
344,sugar
344,cereals
344,canned vegetables
345,canned fish
345,skin care
345,hygiene articles
345,napkins
346,citrus fruit
346,curd
346,pastry
346,margarine
347,sugar
347,candy
347,newspapers
348,other vegetables
348,whole milk
348,bottled water
348,soda
349,misc. beverages
349,bottled beer
349,red/blush wine
349,napkins
350,citrus fruit
350,whole milk
350,rolls/buns
351,sausage
351,oil
351,hygiene articles
351,napkins
352,frankfurter
352,beef
352,hamburger meat
352,grapes
353,root vegetables
353,whole milk
353,butter
353,frozen dessert
354,potato products
354,bottled water
354,bottled beer
355,hard cheese
355,rolls/buns
355,bottled water
355,newspapers
356,cream cheese 
356,rolls/buns
356,soda
356,chocolate
357,turkey
357,beef
357,frozen vegetables
357,dishes
358,photo/film
359,pork
359,other vegetables
359,whipped/sour cream
359,rolls/buns
360,soda
360,shopping bags
361,whole milk
361,beverages
362,rolls/buns
362,soda
363,sausage
363,pip fruit
363,whole milk
363,curd
364,yogurt
364,sliced cheese
364,rolls/buns
364,bottled water
365,hygiene articles
366,ice cream
367,liquor
368,pip fruit
368,other vegetables
368,fruit/vegetable juice
369,root vegetables
369,other vegetables
369,yogurt
370,soda
371,soda
372,sausage
372,citrus fruit
372,tropical fruit
372,other vegetables
373,whole milk
373,yogurt
373,rolls/buns
373,bottled water
374,soda
374,chocolate
374,newspapers
375,root vegetables
375,whole milk
375,pet care
375,detergent
376,pork
376,berries
376,root vegetables
376,other vegetables
377,pastry
377,specialty bar
378,pork
379,chocolate
380,fruit/vegetable juice
381,pickled vegetables
381,coffee
382,bottled water
383,frankfurter
383,sausage
383,butter
383,whipped/sour cream
384,rolls/buns
384,margarine
384,spices
385,tropical fruit
385,pip fruit
385,onions
385,other vegetables
386,whole milk
386,domestic eggs
386,sugar
386,soups
387,tea
387,soda
387,hygiene articles
387,napkins
388,canned beer
389,root vegetables
390,meat
390,citrus fruit
390,berries
390,root vegetables
391,whole milk
391,soda
392,frankfurter
392,rolls/buns
392,bottled water
392,fruit/vegetable juice
393,hygiene articles
394,tropical fruit
394,margarine
394,rum
395,tropical fruit
395,root vegetables
395,herbs
395,whole milk
396,butter milk
396,whipped/sour cream
396,flour
396,hygiene articles
397,citrus fruit
397,pip fruit
397,root vegetables
397,other vegetables
398,whole milk
398,cream cheese 
398,domestic eggs
398,brown bread
399,margarine
399,baking powder
399,waffles
400,hamburger meat
400,other vegetables
400,whole milk
400,curd
401,yogurt
401,rolls/buns
401,pastry
401,semi-finished bread
402,margarine
402,bottled water
402,fruit/vegetable juice
403,chicken
403,pip fruit
403,other vegetables
403,whole milk
404,dessert
404,yogurt
404,whipped/sour cream
404,rolls/buns
405,pasta
405,soda
405,waffles
406,chicken
406,citrus fruit
406,tropical fruit
406,root vegetables
407,whole milk
407,frozen fish
407,rolls/buns
408,frankfurter
408,citrus fruit
408,onions
408,other vegetables
409,whole milk
409,rolls/buns
409,sugar
409,soda
410,canned beer
411,turkey
411,pip fruit
411,salad dressing
411,pastry
412,packaged fruit/vegetables
412,whole milk
412,curd
412,yogurt
413,domestic eggs
413,brown bread
413,mustard
413,pickled vegetables
414,bottled water
414,misc. beverages
415,pasta
416,citrus fruit
416,tropical fruit
417,sausage
417,whole milk
417,yogurt
417,rolls/buns
418,brown bread
418,pot plants
419,whole milk
419,frozen meals
419,pastry
419,fruit/vegetable juice
420,waffles
421,canned beer
422,citrus fruit
422,sugar
422,sauces
423,liquor (appetizer)
424,citrus fruit
424,other vegetables
424,rolls/buns
424,salty snack
425,shopping bags
426,sausage
427,chicken
427,other vegetables
427,whole milk
427,vinegar
428,oil
428,bottled water
428,canned beer
428,napkins
429,newspapers
430,hamburger meat
430,root vegetables
430,other vegetables
430,whole milk
431,yogurt
431,whipped/sour cream
431,specialty cheese
431,flour
432,margarine
433,sausage
433,pork
433,other vegetables
433,dessert
434,yogurt
434,oil
434,soda
435,beef
435,berries
435,root vegetables
435,whole milk
436,whipped/sour cream
436,abrasive cleaner
437,citrus fruit
437,packaged fruit/vegetables
437,yogurt
437,bottled water
438,UHT-milk
438,coffee
439,candy
440,newspapers
441,beef
441,citrus fruit
441,other vegetables
441,yogurt
442,sausage
442,rolls/buns
443,frankfurter
443,beef
443,root vegetables
443,curd
444,dessert
444,yogurt
444,soft cheese
444,rolls/buns
445,mustard
445,pickled vegetables
445,canned beer
445,hygiene articles
446,napkins
447,canned beer
448,bottled beer
449,onions
449,soda
449,chewing gum
449,chocolate
450,newspapers
451,tropical fruit
451,packaged fruit/vegetables
451,cream cheese 
451,white bread
452,candy
453,bottled water
453,white wine
454,beef
454,white bread
454,pastry
454,pasta
455,soap
456,sausage
456,chicken
456,tropical fruit
456,root vegetables
457,whole milk
457,yogurt
457,candy
457,abrasive cleaner
458,cleaner
459,hair spray
460,chicken
460,whole milk
460,spices
460,long life bakery product
461,shopping bags
462,pork
462,citrus fruit
462,brown bread
462,pastry
463,sugar
463,cat food
464,ice cream
465,meat
465,hard cheese
465,bottled beer
466,other vegetables
466,yogurt
466,brown bread
466,instant coffee
467,bottled water
467,cake bar
468,tropical fruit
468,soda
468,salty snack
469,photo/film
470,sausage
470,citrus fruit
470,yogurt
470,coffee
471,soda
471,canned beer
471,dishes
472,grapes
472,root vegetables
473,domestic eggs
473,brown bread
473,photo/film
474,rolls/buns
474,canned fish
474,canned beer
475,tropical fruit
475,whole milk
476,chicken
477,frankfurter
477,other vegetables
477,yogurt
477,brown bread
478,bottled water
479,berries
479,root vegetables
479,other vegetables
479,curd
480,butter milk
480,cream cheese 
480,roll products 
480,margarine
481,misc. beverages
481,specialty chocolate
481,detergent
482,margarine
482,hygiene articles
483,tropical fruit
483,yogurt
483,rolls/buns
483,soda
484,shopping bags
485,ham
485,other vegetables
485,whipped/sour cream
485,hard cheese
486,rolls/buns
486,soda
486,misc. beverages
486,chocolate
487,candy
488,hamburger meat
488,white bread
488,salty snack
489,yogurt
489,mayonnaise
489,rolls/buns
489,soda
490,napkins
491,soda
491,specialty chocolate
492,yogurt
493,soda
494,bottled water
495,sausage
495,meat
495,hamburger meat
495,rubbing alcohol
496,citrus fruit
496,pip fruit
496,beverages
496,hard cheese
497,pet care
497,soda
497,fruit/vegetable juice
497,waffles
498,shopping bags
499,newspapers
500,frankfurter
500,other vegetables
500,whole milk
500,curd
501,frozen potato products
501,zwieback
501,specialty bar
501,dish cleaner
502,sausage
502,citrus fruit
502,whole milk
502,canned beer
503,frankfurter
503,rolls/buns
504,salt
504,salty snack
504,cookware
505,oil
506,curd
506,beverages
506,cream cheese 
506,rolls/buns
507,pastry
507,soda
507,cake bar
507,chewing gum
508,other vegetables
508,butter
508,specialty chocolate
509,citrus fruit
510,frankfurter
510,whole milk
510,butter milk
511,root vegetables
511,whole milk
511,butter
511,processed cheese
512,mayonnaise
512,salty snack
513,tropical fruit
513,whole milk
513,frozen meals
513,bottled beer
514,beef
514,hamburger meat
514,pip fruit
515,berries
515,whipped/sour cream
515,cereals
515,waffles
516,shopping bags
517,canned beer
518,whipped/sour cream
518,canned beer
518,red/blush wine
519,root vegetables
519,domestic eggs
519,margarine
519,chocolate marshmallow
520,candy
521,whole milk
521,soda
522,beef
523,frozen vegetables
524,rolls/buns
524,bottled beer
525,whole milk
525,hygiene articles
526,whole milk
527,citrus fruit
527,whole milk
527,curd
527,soft cheese
528,pastry
528,fruit/vegetable juice
529,frankfurter
529,sausage
529,pork
529,pip fruit
530,butter
530,processed cheese
530,white bread
530,brown bread
531,tropical fruit
531,root vegetables
531,whole milk
531,whipped/sour cream
532,domestic eggs
533,frankfurter
533,sausage
533,root vegetables
533,yogurt
534,whipped/sour cream
534,pastry
534,napkins
535,berries
535,root vegetables
535,other vegetables
535,packaged fruit/vegetables
536,whole milk
536,curd
536,curd cheese
536,cat food
537,specialty bar
537,detergent
538,rolls/buns
538,brown bread
538,pastry
538,coffee
539,bottled beer
540,root vegetables
540,packaged fruit/vegetables
540,curd
540,dessert
541,frozen vegetables
541,specialty fat
541,coffee
542,yogurt
543,other vegetables
543,bottled water
544,berries
544,white bread
545,berries
545,coffee
546,other vegetables
546,butter milk
546,frozen meals
546,bottled water
547,rolls/buns
547,newspapers
548,ham
548,citrus fruit
548,whole milk
548,whipped/sour cream
549,rolls/buns
549,pastry
549,waffles
549,hygiene articles
550,whole milk
550,frozen dessert
550,salty snack
550,napkins
551,tropical fruit
551,butter milk
551,rolls/buns
551,bottled water
552,bottled water
553,butter milk
553,yogurt
554,newspapers
555,coffee
556,bottled beer
556,liquor
557,onions
557,butter
557,whipped/sour cream
557,hard cheese
558,frozen vegetables
558,pasta
558,specialty fat
558,syrup
559,candy
559,napkins
559,cling film/bags
560,hamburger meat
560,hard cheese
560,frozen meals
560,pasta
561,dog food
561,salty snack
561,shopping bags
562,sausage
562,liver loaf
562,other vegetables
562,cream cheese 
563,pastry
563,soap
563,shopping bags
564,hard cheese
564,pastry
564,napkins
565,sausage
565,tropical fruit
565,condensed milk
565,rolls/buns
566,hamburger meat
567,onions
567,whole milk
567,beverages
567,frozen dessert
568,coffee
569,shopping bags
570,yogurt
570,rolls/buns
570,pastry
570,bottled water
571,soda
571,shopping bags
572,soda
573,sliced cheese
574,sausage
574,whole milk
574,coffee
575,yogurt
575,chocolate
576,domestic eggs
576,rolls/buns
576,dish cleaner
576,hygiene articles
577,whole milk
578,meat
578,other vegetables
578,whole milk
578,whipped/sour cream
579,dish cleaner
579,bathroom cleaner
579,hygiene articles
579,napkins
580,other vegetables
580,red/blush wine
581,whole milk
581,butter milk
581,yogurt
581,sliced cheese
582,rolls/buns
582,sweet spreads
582,coffee
582,fruit/vegetable juice
583,long life bakery product
583,shopping bags
584,other vegetables
584,whole milk
584,rolls/buns
584,Instant food products
585,tropical fruit
585,other vegetables
586,baking powder
586,bottled water
586,salty snack
586,chewing gum
587,specialty bar
588,ice cream
589,frankfurter
589,yogurt
590,canned beer
591,bottled water
592,other vegetables
592,whole milk
592,rolls/buns
592,margarine
593,bottled water
593,bottled beer
594,citrus fruit
594,tropical fruit
594,onions
594,other vegetables
595,shopping bags
596,sausage
596,ham
596,hamburger meat
596,whole milk
597,soda
597,softener
597,newspapers
598,domestic eggs
598,rolls/buns
598,specialty bar
598,napkins
599,pork
599,citrus fruit
599,tropical fruit
599,root vegetables
600,other vegetables
600,curd
600,hygiene articles
601,specialty cheese
601,frozen vegetables
601,coffee
601,soda
602,fruit/vegetable juice
602,salty snack
603,pork
603,citrus fruit
603,pip fruit
603,yogurt
604,fruit/vegetable juice
604,sparkling wine
605,beef
605,berries
605,whipped/sour cream
605,domestic eggs
606,rolls/buns
607,other vegetables
607,pet care
608,chicken
608,yogurt
608,sliced cheese
608,rolls/buns
609,chewing gum
609,dishes
610,soda
610,chewing gum
611,whole milk
612,rolls/buns
613,bottled beer
614,root vegetables
614,pastry
614,bottled water
614,male cosmetics
615,pastry
616,berries
616,pet care
616,cake bar
616,shopping bags
617,citrus fruit
617,tropical fruit
617,root vegetables
617,yogurt
618,canned vegetables
618,bottled water
618,soda
618,softener
619,whole milk
619,oil
619,canned fruit
619,fruit/vegetable juice
620,soda
620,misc. beverages
621,bottled water
621,soda
622,tropical fruit
622,other vegetables
622,rolls/buns
623,salty snack
624,bottled water
624,canned beer
625,chocolate
626,citrus fruit
626,UHT-milk
626,cream cheese 
626,frozen vegetables
627,bottled water
627,canned beer
627,male cosmetics
628,onions
628,other vegetables
628,pastry
628,bottled water
629,soda
629,napkins
630,dessert
630,oil
630,cat food
630,soda
631,beef
631,other vegetables
631,whole milk
631,frozen potato products
632,rolls/buns
632,oil
632,margarine
632,coffee
633,dental care
633,hygiene articles
633,newspapers
634,rolls/buns
634,zwieback
634,bottled water
634,misc. beverages
635,bottled beer
635,canned beer
635,brandy
636,beef
636,tropical fruit
636,root vegetables
636,onions
637,other vegetables
637,instant coffee
637,soda
638,soda
639,coffee
639,hygiene articles
640,rolls/buns
640,brown bread
640,bottled water
641,pork
641,beef
641,hamburger meat
641,other vegetables
642,whole milk
642,frozen vegetables
642,rolls/buns
642,margarine
643,shopping bags
644,soda
644,canned beer
644,liquor (appetizer)
644,hygiene articles
645,napkins
645,newspapers
646,sausage
646,ham
646,other vegetables
646,ice cream
647,white bread
648,beef
648,root vegetables
648,other vegetables
648,rolls/buns
649,sugar
650,whole milk
650,butter
650,bottled water
650,bottled beer
651,pork
651,ice cream
651,hygiene articles
651,house keeping products
652,berries
652,packaged fruit/vegetables
652,whole milk
652,ice cream
653,fruit/vegetable juice
653,salty snack
653,specialty bar
654,sausage
654,other vegetables
654,curd
654,yogurt
655,whipped/sour cream
655,frozen vegetables
655,rolls/buns
655,roll products 
656,bottled water
656,misc. beverages
656,cling film/bags
657,tropical fruit
657,other vegetables
657,packaged fruit/vegetables
657,whole milk
658,hard cheese
658,frozen dessert
658,rice
658,bottled water
659,herbs
659,bottled water
660,yogurt
660,rolls/buns
661,Instant food products
662,specialty chocolate
663,coffee
664,bottled beer
664,liquor
665,beef
665,root vegetables
666,whole milk
666,honey
666,waffles
667,frankfurter
667,rolls/buns
667,pastry
667,snack products
668,specialty bar
669,frankfurter
669,sausage
669,liver loaf
669,root vegetables
670,curd
670,frozen vegetables
670,rolls/buns
670,semi-finished bread
671,hygiene articles
671,photo/film
672,other vegetables
672,whole milk
672,cream cheese 
673,frankfurter
673,root vegetables
673,pickled vegetables
673,soda
674,seasonal products
675,whole milk
675,rolls/buns
675,newspapers
676,frankfurter
676,margarine
676,dental care
677,other vegetables
677,salty snack
678,bottled water
678,shopping bags
679,pork
679,onions
679,whole milk
679,butter
680,rolls/buns
680,pastry
680,rum
680,hygiene articles
681,bottled water
682,other vegetables
682,whipped/sour cream
682,specialty cheese
682,domestic eggs
683,hamburger meat
683,whole milk
683,curd
683,pasta
684,canned beer
685,hamburger meat
685,citrus fruit
685,other vegetables
686,shopping bags
687,whole milk
687,cream cheese 
687,soda
687,fruit/vegetable juice
688,ice cream
689,pastry
689,bottled water
690,ham
690,pip fruit
690,whole milk
690,curd
691,dessert
691,butter milk
691,whipped/sour cream
691,sliced cheese
692,cream cheese 
692,white bread
692,coffee
692,long life bakery product
693,chocolate
